Date;CowID;CowDiagnosis;HealSchema;HealPrep;HealDays
01.08.2020;RU3111005016336;Диарея;Схема №2.4;ВЕТ11;4
02.08.2020;RU3101090126871;Диарея;Схема №2.4;СУЛЬФИТР;4
02.08.2020;RU3101090129039;Диарея;Схема №2.4;СУЛЬФИТР;4
06.08.2020;RU3101100549433;Диарея;Нет схемы;АЗИТ;0
08.08.2020;RU3101090129039;Диарея;Схема №2.4;СУЛЬФИТР;4
08.08.2020;RU3110204123727;Диарея;Схема №30.1;ЦЕФТ;6
09.08.2020;RU3101100549440;Диарея;Схема №30.1;БАЙТРИЛ;6
10.08.2020;RU3110204123719;Диарея;Схема №30.1;ЦЕФТ;6
12.08.2020;RU3101150166826;Диарея;Схема №30.1;ЛИНКОСПК;6
14.08.2020;RU3110204123727;Диарея;Схема №30.1;ЦЕФТ;6
16.08.2020;RU3101100549248;Диарея;Схема №30.2;БЕНСТРЕП;6
17.08.2020;RU3101100549252;Диарея;Схема №30.2;БЕНСТРЕП;6
23.08.2020;RU3101090129062;Диарея;Схема №2.5;БАЙТРИЛ;5
24.08.2020;RU3101150166826;Диарея;Схема №30.1;ЛИНКОСПК;6
24.08.2020;DE0358690822;Диарея;Схема №2.4;АМОКСИГА;4
29.08.2020;RU3110204123771;Диарея;Схема №30.1;ЦЕФТ;6
29.08.2020;DE0358690822;Диарея;Схема №2.4;БЕНСТРЕП;4
30.08.2020;RU3101090129062;Диарея;Схема №30.1;ЛИНКОСПК;6
02.09.2020;RU3110204123785;Диарея;Схема №30.1;ЦЕФТ;6
04.09.2020;RU3101100549296;Диарея;Схема №30.2;БЕНСТРЕП;6
05.09.2020;RU3101090126029;Диарея;Схема №2.4;СУЛЬФИТР;4
08.09.2020;RU3110204123780;Диарея;Схема №30.1;ЦЕФТ;6
10.09.2020;RU3110204123785;Диарея;Схема №30.1;ЦЕФТ;6
24.09.2020;RU3111005170076;Диарея;Схема №30.2;BENSTR;6
02.10.2020;RU3111005170076;Диарея;Схема №30.2;BENSTR;6
02.10.2020;RU3111005170107;Диарея;Схема №30.2;BENSTR;6
04.10.2020;HU3081093448;Диарея;Схема №2.4;BET11;4
14.10.2020;RU3101090120167;Диарея;Схема №2.4;ВЕТ 200;4
20.10.2020;RU3101090116713;Диарея;Схема №2.5;БЕНСТРЕП;5
21.10.2020;RU3111005170154;Диарея;Нет схемы;АЗИТ;0
22.10.2020;RU3111005008264;Диарея;Схема №2.4;BET11;4
25.10.2020;RU3111005170154;Диарея;Схема №30.1;CEFT;6
26.10.2020;RU3111005160053;Диарея;Схема №30.2;БЕНСТРЕП;6
02.11.2020;RU3101090119837;Диарея;Схема №30.1;ЦЕФТИОМТ;6
04.11.2020;RU3110204123771;Диарея;Схема №30.1;ЦЕФТ;6
08.11.2020;RU3101090119837;Диарея;Схема №2.5;БЕНСТРЕП;5
11.11.2020;RU3101100549857;Диарея;Схема №30.1;ЦЕФТ;6
19.11.2020;RU3111005007534;Диарея;Схема №2.4;BET11;4
22.11.2020;RU3110204123921;Диарея;Схема №30.2;БЕНС;6
25.11.2020;RU3111005160113;Диарея;Схема №30.2;БЕНСТРЕП;6
10.12.2020;RU3101090127836;Диарея;Схема №2.5;БЕНСТРЕП;5
11.12.2020;NL0641627875;Диарея;Схема №2.4;BET11;4
11.12.2020;NL0641627875;Диарея;Нет схемы;BET11;0
15.12.2020;RU3101090118297;Диарея;Схема №2.5;БЕНСТРЕП;5
17.12.2020;RU3110204130964;Диарея;Схема №2.5;БНСТРП;5
20.12.2020;RU3101090118297;Диарея;Схема №2.5;БЕНСТРЕП;5
20.12.2020;RU3111005170343;Диарея;Нет схемы;AZITROVE;0
26.12.2020;RU3101090118297;Диарея;Схема №2.4;ЦЕФТИОМТ;4
05.02.2021;DE1504851951;Диарея;Схема №2.4;CEFTIOMI;6
17.02.2021;RU3101090120335;Диарея;Схема №2.4;CEFTIOMI;6
21.02.2021;NL0945470869;Диарея;Схема №2.4;PROKTIT;6
25.02.2021;RU3111005170254;Диарея;Схема №30.2;БЕНС;6
05.03.2021;RU3101090129492;Диарея;Схема №2.4;ЦФТМТ;4
09.03.2021;RU3110204121580;Диарея;Схема №2.4;ЦЕФТ;4
25.03.2021;RU3101100549215;Диарея;Схема №30.2;БЕНС+Д;6
26.03.2021;RU3101090129852;Диарея;Схема №2.5;АМОКСИГ;5
02.04.2021;RU3101090128251;Диарея;Схема №2.4;ВЕТАЦ200;4
09.04.2021;RU3101090128251;Диарея;Схема №2.4;ЦФТМТ;4
10.04.2021;RU3101090128251;Диарея;Схема №2.4;ЦФТМТ;4
14.04.2021;RU3101090128251;Диарея;Схема №2.5;БНСТРП;5
19.04.2021;RU3101090128251;Диарея;Схема №2.5;БНСТРП;5
09.05.2021;DE0360658234;Диарея;Схема №2.4;ЦЕФТИОМТ;4
09.05.2021;DE0360731555;Диарея;Схема №2.4;CEFTIOMI;6
14.05.2021;RU3101090118078;Диарея;Схема №2.4;ЦЕФТИОМТ;4
14.05.2021;DE0360847816;Диарея;Схема №2.5;БЕНСТРЕП;5
04.06.2021;RU3101090120578;Диарея;Схема №2.4;ЦЕФТИОМТ;4
09.06.2021;RU3101090120578;Диарея;Схема №2.4;ЦЕФТИОМТ;4
14.06.2021;RU3101090120578;Диарея;Схема №2.4;ЦЕФТИОМТ;4
16.06.2021;DE0360562211;Диарея;Схема №2.4;ЦЕФТИОМТ;4
21.06.2021;DE0360562211;Диарея;Схема №2.4;ЦЕФТИОМТ;4
05.07.2021;DE0360689541;Диарея;Схема №2.4;ЦЕФТИОМТ;6
05.07.2021;DE0360689541;Диарея;Нет схемы;ЦЕФТИОМТ;0
10.07.2021;RU3111005046301;Диарея;Схема №2.4;ЦЕФТИОМТ;6
10.07.2021;RU3111005046301;Диарея;Нет схемы;ЦЕФТИОМТ;0
11.07.2021;RU3101090117679;Диарея;Схема №2.4;ЦЕФТИОМТ;6
11.07.2021;RU3101090117679;Диарея;Нет схемы;ЦЕФТИОМТ;0
18.07.2021;RU3101090128233;Диарея;Схема №2.4;ЦФТМТ;6
18.07.2021;RU3101090128233;Диарея;Нет схемы;ЦФТМТ;0
24.07.2021;RU3101090130029;Диарея;Схема №2.4;ЦФТМТ;6
25.07.2021;RU3101090128251;Диарея;Схема №2.5;БНСТРП;6
27.07.2021;RU3101090127836;Диарея;Схема №2.4;ЦЕФТИОМТ;6
31.07.2021;RU3101090128251;Диарея;Схема №2.5;БНСТРП;6
05.08.2021;RU3101090120875;Диарея;Схема №2.4;ЦЕФТИОМТ;6
