Date,Farm,MilkingAmount,MilkingTime,MilkingMaxAmount
2020-04-08,Магнолия,19438.87,605259,0.0
2020-04-08,Вереск,8405.86,259020,3952.43
2020-04-09,Вереск,14633.61,498958,7306.71
2020-04-09,Магнолия,19921.82,615850,0.0
2020-04-09,Ромашка,58129.3,1721638,22690.53
2020-04-09,Сирень,41341.12,1168530,0.0
2020-04-10,Вереск,15377.11,503520,7185.97
2020-04-10,Магнолия,19327.48,606098,0.0
2020-04-10,Ромашка,19880.3,682414,7401.29
2020-04-10,Сирень,41067.74,1206644,0.0
2020-04-11,Ромашка,8770.9,368260,2605.57
2020-04-11,Сирень,39838.78,1148724,0.0
2020-04-11,Вереск,19662.57,590921,9280.49
2020-04-11,Магнолия,19775.7,625230,0.0
2020-04-12,Магнолия,19948.5,627399,0.0
2020-04-12,Ромашка,8560.8,307166,2678.01
2020-04-12,Вереск,16065.81,503380,7731.27
2020-04-12,Сирень,40334.59,1172931,0.0
2020-04-13,Сирень,38006.27,1111865,0.0
2020-04-13,Магнолия,18751.87,594661,0.0
2020-04-13,Ромашка,42903.5,1303146,16947.15
2020-04-13,Клевер,1920.0,199866,579.1
2020-04-13,Вереск,24712.62,754999,10623.56
2020-04-14,Вереск,22923.89,654399,9440.69
2020-04-14,Клевер,707.5,33728,220.2
2020-04-14,Магнолия,17776.07,566174,0.0
2020-04-14,Ромашка,28477.1,895315,10980.36
2020-04-14,Сирень,38227.95,1107691,0.0
2020-04-15,Вереск,24897.96,730777,10719.44
2020-04-15,Клевер,214.6,8816,53.1
2020-04-15,Магнолия,18379.29,559138,0.0
2020-04-15,Ромашка,58047.4,1747922,23085.48
2020-04-15,Сирень,38820.17,1103111,0.0
2020-04-16,Сирень,37422.61,1095717,0.0
2020-04-16,Ромашка,62670.2,1798931,24238.18
2020-04-16,Магнолия,19155.92,583034,0.0
2020-04-16,Клевер,391.6,16282,105.5
2020-04-16,Вереск,26223.39,731547,10946.63
2020-04-17,Вереск,26356.77,722893,10969.98
2020-04-17,Клевер,161.5,13568,55.5
2020-04-17,Магнолия,18297.46,566262,0.0
2020-04-17,Ромашка,56536.0,1611616,23064.02
2020-04-17,Сирень,37974.95,1128013,0.0
2020-04-18,Вереск,29992.27,847740,12541.52
2020-04-18,Клевер,131.7,7662,41.9
2020-04-18,Магнолия,19368.63,609205,0.0
2020-04-18,Ромашка,55933.2,1625110,22984.51
2020-04-18,Сирень,35883.7,1051559,0.0
2020-04-19,Сирень,38779.54,1128087,0.0
2020-04-19,Ромашка,60468.3,1827582,23453.09
2020-04-19,Магнолия,18029.87,563125,0.0
2020-04-19,Клевер,111.9,6634,40.1
2020-04-19,Вереск,38157.14,1079642,16283.52
2020-04-20,Вереск,38467.63,1164883,16086.6
2020-04-20,Клевер,25.6,2453,7.5
2020-04-20,Магнолия,18663.01,573582,0.0
2020-04-20,Ромашка,59242.0,1775322,23052.23
2020-04-20,Сирень,38377.82,1087786,0.0
2020-04-21,Вереск,26349.95,725650,10588.63
2020-04-21,Клевер,58.7,2940,16.1
2020-04-21,Магнолия,18986.56,575391,0.0
2020-04-21,Ромашка,54333.8,1611206,21582.55
2020-04-21,Сирень,38683.07,1113349,0.0
2020-04-22,Сирень,38928.2,1136273,0.0
2020-04-22,Ромашка,48885.7,1510700,19930.92
2020-04-22,Клевер,0.0,0,0.0
2020-04-22,Вереск,25161.9,778620,10730.64
2020-04-22,Магнолия,18462.24,565818,0.0
2020-04-23,Вереск,38889.9,1087842,15986.63
2020-04-23,Клевер,0.0,0,0.0
2020-04-23,Магнолия,19377.17,584562,0.0
2020-04-23,Ромашка,39681.9,1163428,15735.9
2020-04-23,Сирень,41018.03,1178658,0.0
2020-04-24,Ромашка,37234.2,1090826,14660.45
2020-04-24,Вереск,32401.77,954583,13712.8
2020-04-24,Клевер,0.0,0,0.0
2020-04-24,Магнолия,18876.52,576353,0.0
2020-04-24,Сирень,38502.45,1142956,0.0
2020-04-25,Сирень,37149.24,1120760,0.0
2020-04-25,Магнолия,19095.09,574549,0.0
2020-04-25,Ромашка,42033.4,1194475,16167.54
2020-04-25,Клевер,0.0,0,0.0
2020-04-25,Вереск,28461.58,748664,11554.91
2020-04-26,Вереск,43044.75,1169372,17664.35
2020-04-26,Клевер,0.0,0,0.0
2020-04-26,Магнолия,18807.16,569551,0.0
2020-04-26,Ромашка,61544.4,1787379,24212.2
2020-04-26,Сирень,37851.29,1152300,0.0
2020-04-27,Вереск,12259.07,304519,4398.67
2020-04-27,Клевер,0.0,0,0.0
2020-04-27,Магнолия,19444.58,577759,0.0
2020-04-27,Ромашка,63040.5,1822102,24434.63
2020-04-27,Сирень,37663.2,1128107,0.0
2020-04-28,Сирень,37833.38,1105106,0.0
2020-04-28,Ромашка,62886.1,1759746,24443.47
2020-04-28,Магнолия,18344.55,547420,0.0
2020-04-28,Клевер,0.0,0,0.0
2020-04-28,Вереск,26518.85,726166,11194.05
2020-04-29,Вереск,22110.25,596097,8887.49
2020-04-29,Клевер,0.0,0,0.0
2020-04-29,Магнолия,19357.84,579868,0.0
2020-04-29,Ромашка,36396.2,1078386,13096.19
2020-04-29,Сирень,36449.32,1044160,0.0
2020-04-30,Вереск,42177.52,1140913,17184.21
2020-04-30,Клевер,0.0,0,0.0
2020-04-30,Магнолия,25816.24,790647,0.0
2020-04-30,Ромашка,45069.3,1326961,16389.31
2020-04-30,Сирень,39873.41,1137376,0.0
2020-05-01,Сирень,40419.15,1171137,0.0
2020-05-01,Ромашка,46894.5,1346932,16701.01
2020-05-01,Клевер,0.0,0,0.0
2020-05-01,Вереск,28019.28,759848,11703.99
2020-05-01,Магнолия,37999.9,1162633,0.0
2020-05-02,Вереск,18765.25,483244,7063.83
2020-05-02,Клевер,0.0,0,0.0
2020-05-02,Магнолия,37060.51,1145775,0.0
2020-05-02,Ромашка,38527.2,1045098,13139.59
2020-05-02,Сирень,41224.18,1161507,0.0
2020-05-03,Сирень,40708.57,1164199,0.0
2020-05-03,Вереск,43097.13,1132243,17277.33
2020-05-03,Клевер,0.0,0,0.0
2020-05-03,Магнолия,34922.14,1090671,0.0
2020-05-03,Ромашка,39392.8,1176839,14605.78
2020-05-04,Сирень,40088.73,1146868,0.0
2020-05-04,Ромашка,64859.6,1766052,24431.22
2020-05-04,Клевер,0.0,0,0.0
2020-05-04,Вереск,28865.76,794481,11624.7
2020-05-04,Магнолия,36196.61,1106993,0.0
2020-05-05,Клевер,0.0,0,0.0
2020-05-05,Магнолия,37473.18,1102019,0.0
2020-05-05,Ромашка,66761.2,1991779,24080.34
2020-05-05,Сирень,42198.77,1213705,0.0
2020-05-06,Ромашка,63348.6,1764414,23871.9
2020-05-06,Магнолия,35696.96,1040486,0.0
2020-05-06,Сирень,41562.36,1193954,0.0
2020-05-06,Вереск,19221.99,540633,7846.19
2020-05-06,Клевер,0.0,0,0.0
2020-05-07,Магнолия,35788.39,1065039,0.0
2020-05-07,Ромашка,66959.0,1874980,24635.67
2020-05-07,Вереск,15481.63,405710,5892.57
2020-05-07,Клевер,0.0,0,0.0
2020-05-07,Сирень,42156.16,1208336,0.0
2020-05-08,Клевер,0.0,0,0.0
2020-05-08,Сирень,41570.48,1200622,0.0
2020-05-08,Ромашка,62064.4,1802501,23531.78
2020-05-08,Вереск,28570.97,759503,10962.81
2020-05-08,Магнолия,35300.4,1045215,0.0
2020-05-09,Вереск,10993.17,296092,4264.31
2020-05-09,Клевер,0.0,0,0.0
2020-05-09,Магнолия,34764.91,1037454,0.0
2020-05-09,Ромашка,54505.9,1654410,21586.23
2020-05-09,Сирень,42355.35,1182620,0.0
2020-05-10,Вереск,25222.11,786800,10865.63
2020-05-10,Клевер,0.0,0,0.0
2020-05-10,Магнолия,36235.85,1097057,0.0
2020-05-10,Ромашка,61631.8,1858308,24499.72
2020-05-10,Сирень,43197.27,1216337,0.0
2020-05-11,Ромашка,47408.5,1440959,18987.45
2020-05-11,Сирень,42346.05,1183358,0.0
2020-05-11,Клевер,0.0,0,0.0
2020-05-11,Вереск,8575.94,266866,3956.78
2020-05-11,Магнолия,36041.88,1073014,0.0
